porcelain-knob,,active,CKNOB-GNOS,clamp 2-wire glazed,new old stock,0,8.00,0.75,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-GWLF,wrap large glazed,fair,0,2.00,0.25,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-GWLG,wrap large glazed,good,0,3.00,0.50,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-GWLNOS,wrap large glazed,new old stock,0,8.00,0.75,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-GWMF,wrap medium glazed,fair,7,2.00,0.25,$1.75,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-GWMG,wrap medium glazed,good,30,3.00,0.50,$15.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-GWMNOS,wrap medium glazed,new old stock,0,8.00,0.75,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-GWSF,wrap small glazed,fair,0,2.00,0.25,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-GWSF,wrap small unglazed,fair,0,2.00,0.25,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-GWSG,wrap small glazed,good,0,3.00,0.50,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-GWSNOS,wrap small glazed,new old stock,0,8.00,0.75,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-GWSNOS,wrap small unglazed,new old stock,0,8.00,0.75,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-U1F,clamp 1-wire unglazed,fair,0,2.00,0.25,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-U1G,clamp 1-wire unglazed,good,0,3.00,0.50,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-U1NOS,clamp 1-wire unglazed,new old stock,0,8.00,0.75,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-UF,clamp 2-wire unglazed,fair,0,2.00,0.25,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,TRUE,active,CKNOB-UG,clamp 2-wire unglazed,good,0,3.00,0.50,$0.00,141.7476156,PORCELAIN KNOB,Sundial Wire,Uncategorized,Knob & Tube,knob and tube,"<p>A knob is used in<span> </span><span class=""glossary-knob-tube glossary-knob-tube-name"">knob and tube</span><span> </span>wiring to allow the wires to be strung along a wall or ceiling.</p>
<p>There are two basic kinds of knobs, clamp knobs and wrap knobs. The first three pictures show clamp knobs, where the knob is made in two pieces with one or two channels in the top and bottom for one or two wires to fit in. The knob has a central nail that anchors the knob to the the wall or ceiling sandwiching the wires between the two pieces of the knob. Clamp knobs come in glazed and unglazed (shiny or not shiny).</p>
<p>The fourth picture shows wrap knobs, where the wire is not sandwiched between two pieces of the knob but tied around the channel in the one-piece knob. These were often used in conjunction with clamp knobs where the wire had to turn a corner but were also used for running the wires in straight lines. We have encountered maybe one unglazed wrap knob ever in over 20 years of dealing in them. The wrap knobs come in different sizes, as you can see in the picture.  For more information, please see our full description of<span> </span><a href=""/pages/all-about-cloth-covered-wire#g_knob_and_tube"" target=""_blank"" rel=""noopener noreferrer"">knob and tube</a> wiring. <a href=""https://en.wikipedia.org/wiki/Knob-and-tube_wiring"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia's knob and tube wiring page</a><span> </span>has great pictures of knob and tube installations.</p>
<p><span>We don't always have all types, glazes, and conditions of knobs.  When we are out of stock of a particular condition, the option will be grayed and crossed out.  It's best to give us a call to see if we are really out of the type you want.  The computer counts are not always accurate or we may be expecting a shipment.</span></p>
<p>This product is one set of the ceramic pieces, the shorter top piece, the bottom piece, and the nail in the case of a clamp knob, just the one knob in the case of a wrap knob.  The wire is not included.  Please see the<span> </span><a href=""/collections/knob-tube-wire-and-supplies"">Knob &amp; Tube Supplies collection</a><span> </span>for more knob and tube items.</p>
<h2>Condition</h2>
<h3>New Old Stock</h3>
<p>If we find knobs that have never been used we call them new old stock.  They're in new, never-used condition but they were made decades ago.  We almost never find these, but very occasionally will come across some.</p>
<h3>Good</h3>
<p>Knobs classified as good may have slight chips, a little dirt, slightly bent nails.</p>
<h3>Fair</h3>
<p>Knobs in fair condition are still functional, but may have larger chips but no major breakage, and can have significant dirt, marks, and/or discoloration.</p>
<h2>We Buy These!</h2>
<p>See our <a href=""/pages/we-are-buying"">We Are Buying page</a> to see the steps to take to sell us knobs, tubes, and cleats.</p>","Type, Size, Finish",,Condition,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-UNOS,clamp 2-wire unglazed,new old stock,0,8.00,0.75,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-UWLF,wrap large unglazed,fair,0,2.00,0.25,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-UWLG,wrap large unglazed,good,0,3.00,0.50,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-UWLNOS,wrap large unglazed,new old stock,0,8.00,0.75,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-UWMF,wrap medium unglazed,fair,0,2.00,0.25,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-UWMG,wrap medium unglazed,good,0,3.00,0.50,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-UWMNOS,wrap medium unglazed,new old stock,0,8.00,0.75,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-UWSG,wrap small unglazed,good,0,3.00,0.50,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-tube,,active,CTUBE-3F,"3-3.75""",fair,110,2.00,0.25,$27.50,85.04856938,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-tube,TRUE,active,CTUBE-3G,"3-3.75""",good,763,3.00,0.50,$381.50,85.04856938,PORCELAIN TUBE,Sundial Wire,Uncategorized,Knob & Tube,knob and tube,"<p>A tube is used in<span> </span><span class=""glossary-knob-tube glossary-knob-tube-name"">knob and tube</span><span> </span>wiring to allow the wires to go through a wooden beam.</p>
<p> </p>
<p>The tubes come in varying lengths between 3"" and 6.75""</p>
<p>We don't always have all forms of tubes.  When we are out of stock of a particular type of tube, the option should be grayed and crossed out.  Give us a call to see if we are really out of the type you want.  Sometimes the computer counts are not always accurate.</p>
<p>We have a full description of<span> </span><a href=""/pages/all-about-cloth-covered-wire#g_knob_and_tube"" target=""_blank"" rel=""noopener noreferrer"">knob and tu</a><a href=""/pages/all-about-cloth-covered-wire#g_knob_and_tube"" target=""_blank"" rel=""noopener noreferrer"">be</a><span> </span>wiring and<span> </span><a href=""https://en.wikipedia.org/wiki/Knob-and-tube_wiring"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia's knob and tube wiring page</a><span> </span>has great pictures of knob and tube installations.</p>
<h2>Condition</h2>
<h3>New Old Stock</h3>
<p>If we find tubes that have never been used we call them new old stock.  They're in new, never-used condition but they were made decades ago.  We almost never find these, but very occasionally will come across some.</p>
<h3>Good</h3>
<p>Tubes classified as good may have slight chips, a little dirt.</p>
<h3>Fair</h3>
<p>Tubes in fair condition are still functional, but may have larger chips but no major breakage, and can have significant dirt, marks, and/or discoloration.</p>
<h2>We Buy These!</h2>
<p>See our <a href=""/pages/we-are-buying"">We Are Buying page</a> to see the steps to take to sell us knobs, tubes, and cleats.</p>",Length,,Condition,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-tube,,active,CTUBE-3NOS,"3-3.75""",new old stock,0,8.00,0.75,$0.00,85.04856938,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-tube,,active,CTUBE-4F,"4-4.75""",fair,1,2.00,0.25,$0.25,85.04856938,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-tube,,active,CTUBE-4G,"4-4.75""",good,0,3.00,0.50,$0.00,85.04856938,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-tube,,active,CTUBE-4NOS,"4-4.75""",new old stock,0,8.00,0.75,$0.00,85.04856938,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-tube,,active,CTUBE-5F,"5-5.75""",fair,2,2.00,0.25,$0.50,113.3980925,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-tube,,active,CTUBE-5G,"5-5.75""",good,43,3.00,0.50,$21.50,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-tube,,active,CTUBE-5NOS,"5-5.75""",new old stock,0,8.00,0.75,$0.00,113.3980925,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-tube,,active,CTUBE-6F,"6-6.75""",fair,1,2.00,0.25,$0.25,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-tube,,active,CTUBE-6G,"6-6.75""",good,7,3.00,0.50,$3.50,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-tube,,active,CTUBE-6NOS,"6-6.75""",new old stock,0,8.00,0.75,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
finial-pyramid-style,TRUE,active,FINIALPYRAB,antique brass,,14,3.00,,$0.00,28.34952313,"FINIAL: Large Pyramid Knob 1 1/4"" Height - 1/8 IP",Sundial Wire,,Finials,"finials, lamp parts, new 03 21","<div id=""product-detail"">
<p>This is a pyramid-style finial, the piece that screws onto the threaded piece at the top of a harp to hold the lampshade on the harp.</p>
<p>These finials are 1/8 IP, which do not fit on the harps that we sell.  Our harps take a 1/4-27 IP finial.  We have some 1/4-27 IP finials in our line if you need something that fits our harps.</p>
<p>The finishes on the finial are brass, antique brass, brass, and nickel.</p>
<p>Please note this product is for only one of the finials pictured and does not include any other lamp parts, lamps, lampshades, or wire shown.</p>
<h2>Attributes</h2>
<p><strong>Made in:</strong><span> </span>China<br><span><strong>Height:</strong> 1.25""</span><br>
<span><strong>Slip:</strong> 1/8 IP</span></p>
<p> <br></p>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
finial-pyramid-style,,active,FINIALPYRBR,brass,,0,3.00,,$0.00,28.34952313,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
finial-pyramid-style,,active,FINIALPYRNK,nickel,,3,3.00,,$0.00,28.34952313,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
finial-top-hat-style,TRUE,active,FINIALTHAB,antique brass,,35,0.65,0.54,$18.90,28.34952313,FINIAL: TOP HAT STYLE - 1/4-27 IP,Sundial Wire,Uncategorized,Finials,finials,"<div id=""product-detail"">
<p>This is a ""top hat"" style finial, the piece that screws onto the threaded piece at the top of a harp to hold the lampshade on the harp.</p>
<p>The picture with the lampshade shows the finial in the middle, where the threaded top of the harp protrudes through the central ring of the lampshade's ""spider"".  The picture with the lamp shows the finial on the top of the harp without a shade.</p>
<p>These finials will fit on the harps that we sell.</p>
<p>The finishes on the finial are brass, dark antique brass, antique brass, and nickel.</p>
<p>Please note this product is for only one of the finials pictured and does not include any other lamp parts, lamps, lampshades, or wire shown.</p>
<h3><strong>Attributes</strong></h3>
<p><strong>Made in:</strong><span> </span><span>China</span><br><span><strong>Height:</strong> 1/2""</span><br><span><strong>Slip:</strong> 1/4-27 IP</span></p>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
finial-top-hat-style,,active,FINIALTHBR,brass,,43,0.65,0.48,$20.64,28.34952313,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
finial-top-hat-style,,active,FINIALTHBZ,dark antique brass,,41,0.65,0.54,$22.14,28.34952313,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
finial-top-hat-style,,active,FINIALTHNK,nickel,,64,0.65,0.48,$30.72,28.34952313,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
grommet,TRUE,active,GROMMET,Default Title,,338,0.50,,$0.00,28.34952313,"GROMMET: Black Rubber, 1/2"" diameter for wireway hole",Sundial Wire,,Miscellaneous,"grommets, misc lamp parts, miscellaneous","<div product-detail="""">
<p>Use these grommets to protect wire from abrasion in a wireway.</p>
</div>",Title,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
heavy-duty-harp,,active,HRPHDAB10,antique brass,10 inch,30,2.00,,$0.00,79.37866475,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
heavy-duty-harp,,active,HRPHDAB8,antique brass,8 inch,47,2.00,,$0.00,79.37866475,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
heavy-duty-harp,,active,HRPHDAB9,antique brass,9 inch,32,2.00,,$0.00,79.37866475,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
heavy-duty-harp,,active,HRPHDAB9.5,antique brass,9.5 inch,107,2.00,,$0.00,79.37866475,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
heavy-duty-harp,,active,HRPHDBR10,brass,10 inch,13,2.00,,$0.00,79.37866475,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
heavy-duty-harp,TRUE,active,HRPHDBR8,brass,8 inch,9,2.00,,$0.00,79.37866475,HEAVY DUTY HARP,Sundial Wire,,Harps,"harps, lamp parts","<div id=""product-detail"">
<p>This is a heavy-duty lamp harp available in four finishes, antique brass, dark antique brass, brass, and nickel. It is available in 8-inch, 8.5-inch, 9-inch, 9.5-inch and 10-inches heights.</p>
<p>If you need guidance on which shade is right for your lamp and, therefore, what height your harp should be, see <a href=""https://www.architecturaldigest.com/story/follow-this-rule-to-pick-the-perfect-lampshade"" title=""Architectural Digest article on the right size for a lampshade"" target=""_blank"" rel=""noopener noreferrer"">this article by Architectural Digest</a>.  </p>
<p>Your harp should be the same height as your lamp shade minus the difference between the spider - the piece with arms and a ring in the middle that goes over the harp - and the top of the shade.  You can see the spider as well as a <a href=""/products/finials"" target=""_blank"" title=""finials"" rel=""noopener noreferrer"">finial </a>in the picture with the green shade.  So if your shade is 10"" high and the spider is a half inch below the top of the shade, you should get a 9.5"" harp.  If your measurement does not come out to an even inch or half inch, just round up or down.</p>
<p>Please note that the 8.5"" height is not available in antique brass.  Our supplier just doesn't carry it.</p>
<p>Please note that this product is the harp and saddle only. The socket, bulb, and wire are available separately.</p>
<h2>Attributes</h2>
<p><strong>Made in:</strong> China</p>
</div>",Finish,,Height,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
heavy-duty-harp,,active,HRPHDBR8.5,brass,8.5 inch,14,2.00,,$0.00,79.37866475,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
heavy-duty-harp,,active,HRPHDBR9,brass,9 inch,13,2.00,,$0.00,79.37866475,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
heavy-duty-harp,,active,HRPHDBR9.5,brass,9.5 inch,65,2.00,,$0.00,79.37866475,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
heavy-duty-harp,,active,HRPHDDAB10,dark antique brass,10 inch,3,2.00,1.26,$3.78,79.37866475,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
heavy-duty-harp,,active,HRPHDDAB8,dark antique brass,8 inch,3,2.00,,$0.00,79.37866475,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
heavy-duty-harp,,active,HRPHDDAB8.5,dark antique brass,8.5 inch,37,2.00,,$0.00,79.37866475,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
heavy-duty-harp,,active,HRPHDDAB9,dark antique brass,9 inch,11,2.00,,$0.00,79.37866475,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
heavy-duty-harp,,active,HRPHDDAB9.5,dark antique brass,9.5 inch,17,2.00,,$0.00,79.37866475,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
heavy-duty-harp,,active,HRPHDNK10,nickel,10 inch,44,2.00,,$0.00,79.37866475,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
heavy-duty-harp,,active,HRPHDNK8,nickel,8 inch,45,2.00,,$0.00,79.37866475,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
heavy-duty-harp,,active,HRPHDNK8.5,nickel,8.5 inch,39,2.00,,$0.00,79.37866475,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
heavy-duty-harp,,active,HRPHDNK9,nickel,9 inch,41,2.00,,$0.00,79.37866475,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
heavy-duty-harp,,active,HRPHDNK9.5,nickel,9.5 inch,48,2.00,,$0.00,79.37866475,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
installed-switch-full-range-dimmer-in-line,TRUE,active,ISWFRDIMBK,Black,,2,24.00,,$0.00,0,SWITCH: Full Range Dimmer In-Line - INSTALLED,Sundial Wire,,,installed switch,"<p><strong>IMPORTANT</strong><span>: This switch is in your cart because you have ordered a cord set or pendant with this type of switch.  The price is higher than for the non-installed version of the switch because we need to cover the cost of installation. </span><strong> IF YOU REMOVE IT FROM YOUR CART, YOU WILL GET THE CORD SET OR PENDANT WITHOUT A SWITCH.</strong></p>
<p>Attach this in-line switch to any of our wires up to 16-gauge to allow turning your lamp, fan, or small appliance on and off at a convenient distance from your chair or bedside. It comes in black, brown, and white.</p>
<p data-mce-fragment=""1"">Full-range in-line dimmer operated with a slide switch installed on a cordset or pendant.  Works with incandescent, up to 200 watts, and LED, up to 100 watts, bulbs.</p>",Color,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,lb,
